DATE,ASPTFCM,ASPTFFHAI,ASPTFVAG,ASPTFC,ASPUS
1963-01-01,.,.,.,.,19300
1963-04-01,.,.,.,.,19400
1963-07-01,.,.,.,.,19200
1963-10-01,.,.,.,.,19600
1964-01-01,.,.,.,.,19600
1964-04-01,.,.,.,.,20200
1964-07-01,.,.,.,.,20500
1964-10-01,.,.,.,.,20900
1965-01-01,.,.,.,.,21500
1965-04-01,.,.,.,.,21000
1965-07-01,.,.,.,.,21600
1965-10-01,.,.,.,.,21700
1966-01-01,.,.,.,.,22700
1966-04-01,.,.,.,.,23200
1966-07-01,.,.,.,.,23000
1966-10-01,.,.,.,.,22800
1967-01-01,.,.,.,.,24000
1967-04-01,.,.,.,.,24200
1967-07-01,.,.,.,.,23900
1967-10-01,.,.,.,.,24400
1968-01-01,.,.,.,.,25400
1968-04-01,.,.,.,.,26700
1968-07-01,.,.,.,.,26600
1968-10-01,.,.,.,.,27000
1969-01-01,.,.,.,.,27600
1969-04-01,.,.,.,.,28100
1969-07-01,.,.,.,.,28100
1969-10-01,.,.,.,.,27100
1970-01-01,.,.,.,.,27000
1970-04-01,.,.,.,.,27300
1970-07-01,.,.,.,.,26000
1970-10-01,.,.,.,.,26300
1971-01-01,.,.,.,.,27300
1971-04-01,.,.,.,.,28600
1971-07-01,.,.,.,.,28300
1971-10-01,.,.,.,.,28200
1972-01-01,.,.,.,.,29000
1972-04-01,.,.,.,.,29400
1972-07-01,.,.,.,.,30300
1972-10-01,.,.,.,.,31600
1973-01-01,.,.,.,.,32800
1973-04-01,.,.,.,.,35100
1973-07-01,.,.,.,.,35900
1973-10-01,.,.,.,.,36600
1974-01-01,.,.,.,.,38000
1974-04-01,.,.,.,.,38600
1974-07-01,.,.,.,.,39000
1974-10-01,.,.,.,.,39300
1975-01-01,.,.,.,.,40900
1975-04-01,.,.,.,.,42600
1975-07-01,.,.,.,.,42200
1975-10-01,.,.,.,.,44400
1976-01-01,.,.,.,.,46000
1976-04-01,.,.,.,.,47800
1976-07-01,.,.,.,.,48100
1976-10-01,.,.,.,.,50300
1977-01-01,.,.,.,.,51600
1977-04-01,.,.,.,.,54300
1977-07-01,.,.,.,.,54000
1977-10-01,.,.,.,.,57500
1978-01-01,.,.,.,.,59300
1978-04-01,.,.,.,.,61600
1978-07-01,.,.,.,.,63500
1978-10-01,.,.,.,.,66400
1979-01-01,.,.,.,.,68300
1979-04-01,.,.,.,.,72400
1979-07-01,.,.,.,.,74200
1979-10-01,.,.,.,.,72700
1980-01-01,.,.,.,.,73600
1980-04-01,.,.,.,.,74400
1980-07-01,.,.,.,.,77500
1980-10-01,.,.,.,.,80000
1981-01-01,.,.,.,.,80900
1981-04-01,.,.,.,.,84300
1981-07-01,.,.,.,.,83800
1981-10-01,.,.,.,.,83700
1982-01-01,.,.,.,.,81200
1982-04-01,.,.,.,.,85700
1982-07-01,.,.,.,.,83900
1982-10-01,.,.,.,.,84600
1983-01-01,.,.,.,.,86700
1983-04-01,.,.,.,.,89100
1983-07-01,.,.,.,.,92500
1983-10-01,.,.,.,.,90800
1984-01-01,.,.,.,.,94700
1984-04-01,.,.,.,.,99200
1984-07-01,.,.,.,.,98500
1984-10-01,.,.,.,.,97800
1985-01-01,.,.,.,.,98500
1985-04-01,.,.,.,.,100500
1985-07-01,.,.,.,.,100500
1985-10-01,.,.,.,.,103800
1986-01-01,.,.,.,.,106300
1986-04-01,.,.,.,.,112000
1986-07-01,.,.,.,.,114400
1986-10-01,.,.,.,.,115600
1987-01-01,.,.,.,.,120800
1987-04-01,.,.,.,.,126100
1987-07-01,.,.,.,.,129900
1987-10-01,.,.,.,.,133500
1988-01-01,161300,80400,89600,127100,137900
1988-04-01,156300,82200,93100,120900,134800
1988-07-01,162100,83000,91500,130600,141500
1988-10-01,160400,82600,93500,135600,140400
1989-01-01,164200,87100,102300,155500,144300
1989-04-01,171700,83600,95200,130400,146800
1989-07-01,176200,83400,94900,151500,150200
1989-10-01,178000,84600,99100,132800,151200
1990-01-01,174200,84800,102200,158700,149500
1990-04-01,174600,85800,107400,156600,151200
1990-07-01,166700,87600,98700,140600,145500
1990-10-01,178800,89100,107900,135300,150100
1991-01-01,184300,88200,102600,142400,151100
1991-04-01,170000,86200,104800,137900,148200
1991-07-01,162900,87200,105100,145600,145400
1991-10-01,162200,89400,99500,140500,144400
1992-01-01,163800,94000,110200,130900,144500
1992-04-01,164500,88400,102100,130000,145300
1992-07-01,156900,87700,107400,137900,141700
1992-10-01,161100,91300,106700,152000,147200
1993-01-01,160700,92000,110400,146000,144700
1993-04-01,164900,96400,110100,146400,148900
1993-07-01,164100,95400,108400,146700,148000
1993-10-01,159600,98000,105100,150700,148300
1994-01-01,169500,98400,112000,154300,153600
1994-04-01,168500,100100,109400,155100,154200
1994-07-01,167800,98600,114000,149400,152800
1994-10-01,168600,107600,110300,156100,156100
1995-01-01,169300,100700,111600,143700,153500
1995-04-01,175700,99500,113500,156200,158900
1995-07-01,172100,99600,112900,151900,157700
1995-10-01,174300,103200,112500,156500,160900
1996-01-01,177600,102900,112100,166700,161100
1996-04-01,180400,105600,115800,180000,166000
1996-07-01,178800,106700,109800,155100,164000
1996-10-01,183700,108800,113900,172900,171000
1997-01-01,189800,104600,116700,170300,172200
1997-04-01,192900,110900,113000,169200,177200
1997-07-01,188100,105100,122900,188900,174700
1997-10-01,190500,112000,117600,172100,175400
1998-01-01,195000,109300,130300,183600,180000
1998-04-01,192700,108700,130000,174400,178800
1998-07-01,193900,111100,133800,244800,184300
1998-10-01,195800,115800,121300,182300,181500
1999-01-01,205900,119100,126700,188300,189100
1999-04-01,209900,120200,126300,186200,191800
1999-07-01,206600,118100,134500,209900,193000
1999-10-01,221500,118700,137400,214000,204800
2000-01-01,218600,121000,141700,222600,202900
2000-04-01,220500,120600,136300,199400,202400
2000-07-01,222100,123300,142500,210900,204100
2000-10-01,230400,121100,134200,215000,212100
2001-01-01,231000,128300,137100,210600,211000
2001-04-01,228400,128900,136600,213600,211200
2001-07-01,225400,124700,139100,206600,207800
2001-10-01,235800,125000,149100,218100,214200
2002-01-01,247500,132800,146500,217100,227600
2002-04-01,246900,133800,152300,222400,227600
2002-07-01,234100,133100,138100,242900,219100
2002-10-01,250900,129400,148400,240200,232500
2003-01-01,252000,134600,148400,228500,233100
2003-04-01,255800,133000,165100,235800,241000
2003-07-01,264600,129900,148100,297300,248100
2003-10-01,276700,130300,153400,273700,256000
2004-01-01,282700,134500,158400,235800,262900
2004-04-01,282500,131500,167400,253500,265300
2004-07-01,288200,132700,156700,246100,274000
2004-10-01,304500,137600,141800,234000,286300
2005-01-01,298400,138700,165500,286300,288500
