Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20211001,7213.91.30,"Iron/nonalloy steel, nesoi, hot-rolled bars & rods in irregularly wound coils, w/cir. x-sect. diam. <14mm, n/tempered/treated/partly mfd",Algeria,Oriente Medio y Norte de Africa,kilograms,0,0
20211001,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,10,"2,994"
20211001,7213.91.30,"Iron/nonalloy steel, nesoi, hot-rolled bars & rods in irregularly wound coils, w/cir. x-sect. diam. <14mm, n/tempered/treated/partly mfd",Argentina,America Latina,kilograms,"18,254","9,090"
20211001,7312.10.05,"Stainless steel, stranded wire, not elect. insulated, fitted with fittings or made up into articles",Argentina,America Latina,kilograms,0,0
20211001,7312.10.90,"Iron/steel (o/stainless), ropes, cables & cordage, o/th of brass plate wire (o/than stranded wire), n/elect. insul., w/o fittings etc.",Argentina,America Latina,kilograms,0,0
20211001,7321.11.60,"Iron or steel, nonportable non-electric domestic cook. appl. (o/th stoves or ranges) & plate warmers, for gas fuel or both gas & other fuels",Argentina,America Latina,number,0,0
20211001,7321.19.00,"Iron or steel, non-electric domestic cooking appliances and plate warmers, o/than for gas or liquid fuels",Argentina,America Latina,number,0,0
20211001,7321.90.50,"Iron/steel, parts of nonportable non-electric domestic stoves or ranges, nesoi, for gas fuel or for both gas and other fuels",Argentina,America Latina,number,0,0
20211001,7326.20.00,"Iron or steel, articles of wire, nesoi",Austria,Europa y Asia central,number,"879,000","39,793"
20211001,7326.90.86,"Iron or steel, articles, nesoi",Austria,Europa y Asia central,kilograms,23,"4,976"
20211001,7323.93.00,"Stainless steel, table, kitchen or o/household arts. amd parts thereof",Bangladesh,Asia meridional,number,0,0
20211001,7326.20.00,"Iron or steel, articles of wire, nesoi",Bangladesh,Asia meridional,number,0,0
20211001,7210.49.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products, plated or coated with zinc (other than electrolytically), not corrugated",Belgium,Europa y Asia central,kilograms,0,0
20211001,7210.70.60,"Iron/nonalloy steel, width 600mm+, flat-rolled products, painted/varnished or coated w/plastic, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211001,7212.40.10,"Iron/nonalloy steel, width less th/300mm, flat-rolled products, painted, varnished or coated w/plastic",Belgium,Europa y Asia central,kilograms,0,0
20211001,7302.90.90,"Railway or tramway track construction material and other materials specialized for joing or fixing rails, of iron or steel, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211001,7307.21.10,"Stainless steel, flanges for tubes/pipes, forged, not machined, not tooled and not otherwise processed after forging",Belgium,Europa y Asia central,kilograms,0,0
20211001,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter",Belgium,Europa y Asia central,kilograms,0,0
20211001,7326.90.86,"Iron or steel, articles, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211001,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20211001,7210.49.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products, plated or coated with zinc (other than electrolytically), not corrugated",Brazil,America Latina,kilograms,0,0
20211001,7210.50.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products, plated or coated with chromium oxides or with chromium and chromium oxides",Brazil,America Latina,kilograms,"146,148","219,781"
20211001,7210.70.60,"Iron/nonalloy steel, width 600mm+, flat-rolled products, painted/varnished or coated w/plastic, nesoi",Brazil,America Latina,kilograms,0,0
20211001,7217.10.50,"Iron/nonalloy steel, round wire, <0.25% carbon, not plated or coated, w/diameter of 1.5 mm or more",Brazil,America Latina,kilograms,0,0
20211001,7217.10.80,"Iron/nonalloy steel, round wire, w/0.25% or more carbon, not plated or coated",Brazil,America Latina,kilograms,0,0
20211001,7217.10.90,"Iron/nonalloy steel, wire (other than flat or round), w/0.25% or more of carbon, not plated or coated",Brazil,America Latina,kilograms,0,0
20211001,7217.20.30,"Iron/nonalloy steel, round wire, <0.25% carbon, plated or coated with zinc, w/diameter of 1.5 mm or more",Brazil,America Latina,kilograms,0,0
20211001,7217.20.45,"Iron/nonalloy steel, round wire, w/0.25% or more carbon and/or <1.5mm diam, plated or coated with zinc",Brazil,America Latina,kilograms,0,0
20211001,7308.20.00,"Iron or steel, towers and lattice masts",Brazil,America Latina,kilograms,0,0
20211001,7321.11.10,"Iron or steel, portable non-electric domestic cooking appliances and plate warmers, for gas fuel or for both gas and other fuels",Brazil,America Latina,number,48,"9,344"
20211001,7321.11.30,"Iron or steel, nonportable non-electric domestic stoves or ranges, for gas fuel or for both gas and other fuels",Brazil,America Latina,number,246,"24,127"
20211001,7321.11.60,"Iron or steel, nonportable non-electric domestic cook. appl. (o/th stoves or ranges) & plate warmers, for gas fuel or both gas & other fuels",Brazil,America Latina,number,388,"32,188"
20211001,7321.19.00,"Iron or steel, non-electric domestic cooking appliances and plate warmers, o/than for gas or liquid fuels",Brazil,America Latina,number,0,0
20211001,7321.90.50,"Iron/steel, parts of nonportable non-electric domestic stoves or ranges, nesoi, for gas fuel or for both gas and other fuels",Brazil,America Latina,number,0,0
20211001,7323.93.00,"Stainless steel, table, kitchen or o/household arts. amd parts thereof",Brazil,America Latina,number,0,0
20211001,7324.10.00,"Stainless steel, sinks and wash basins",Brazil,America Latina,number,0,0
20211001,7324.90.00,"Iron or steel, sanitary ware (o/than baths or stainless steel sinks and wash basins) and parts thereof",Brazil,America Latina,number,0,0
20211001,7326.20.00,"Iron or steel, articles of wire, nesoi",Brazil,America Latina,number,"4,400","24,200"
20211001,7326.90.45,"Iron or steel, horse and mule shoes",Brazil,America Latina,kilograms,0,0
20211001,7326.90.86,"Iron or steel, articles, nesoi",Brazil,America Latina,kilograms,0,0
20211001,7324.90.00,"Iron or steel, sanitary ware (o/than baths or stainless steel sinks and wash basins) and parts thereof",Burma,Asia oriental y el Pacifico,number,"21,564","72,594"
20211001,7216.91.00,"Iron/nonalloy steel, angle, shapes & sections nesoi,cold-formed/cold-finished from flat-rolled prod. & furth wkd th/cold-formed/cold-finish",Canada,America del Norte,kilograms,0,0
20211001,7308.30.10,"Stainless steel, doors, windows and their frames, and thresholds for doors",Canada,America del Norte,kilograms,0,0
20211001,7308.30.50,"Iron or steel (o/than stainless), doors, windows and their frames, and thresholds for doors",Canada,America del Norte,kilograms,0,0
20211001,7308.40.00,"Iron or steel, props and similar equipment for scaffolding, shuttering or pit-propping",Canada,America del Norte,kilograms,0,0
20211001,7308.90.70,"Steel, grating for structures or parts of structures",Canada,America del Norte,kilograms,0,0
20211001,7308.90.95,"Iron or steel, structures (excluding prefab structures of 9406) and parts of structures, nesoi",Canada,America del Norte,kilograms,0,0
20211001,7309.00.00,"Iron/steel, reservoirs, tanks, vats, siml. contain., for any material (o/than compress./liq.gas), w/capacity o/300 l, n/fit. w/mech/thermal",Canada,America del Norte,number,0,0
20211001,7316.00.00,"Iron or steel, anchors, grapnels and parts thereof",Canada,America del Norte,number,0,0
