Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20211201,7213.91.30,"Iron/nonalloy steel, nesoi, hot-rolled bars & rods in irregularly wound coils, w/cir. x-sect. diam. <14mm, n/tempered/treated/partly mfd",Algeria,Oriente Medio y Norte de Africa,kilograms,0,0
20211201,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,10,"2,838"
20211201,7213.91.30,"Iron/nonalloy steel, nesoi, hot-rolled bars & rods in irregularly wound coils, w/cir. x-sect. diam. <14mm, n/tempered/treated/partly mfd",Argentina,America Latina,kilograms,0,0
20211201,7312.10.05,"Stainless steel, stranded wire, not elect. insulated, fitted with fittings or made up into articles",Argentina,America Latina,kilograms,0,0
20211201,7312.10.90,"Iron/steel (o/stainless), ropes, cables & cordage, o/th of brass plate wire (o/than stranded wire), n/elect. insul., w/o fittings etc.",Argentina,America Latina,kilograms,0,0
20211201,7321.11.60,"Iron or steel, nonportable non-electric domestic cook. appl. (o/th stoves or ranges) & plate warmers, for gas fuel or both gas & other fuels",Argentina,America Latina,number,0,0
20211201,7321.19.00,"Iron or steel, non-electric domestic cooking appliances and plate warmers, o/than for gas or liquid fuels",Argentina,America Latina,number,0,0
20211201,7321.90.50,"Iron/steel, parts of nonportable non-electric domestic stoves or ranges, nesoi, for gas fuel or for both gas and other fuels",Argentina,America Latina,number,0,0
20211201,7309.00.00,"Iron/steel, reservoirs, tanks, vats, siml. contain., for any material (o/than compress./liq.gas), w/capacity o/300 l, n/fit. w/mech/thermal",Australia,Asia oriental y el Pacifico,number,1,"29,444"
20211201,7326.20.00,"Iron or steel, articles of wire, nesoi",Austria,Europa y Asia central,number,"1,608,200","74,340"
20211201,7326.90.86,"Iron or steel, articles, nesoi",Austria,Europa y Asia central,kilograms,0,0
20211201,7323.93.00,"Stainless steel, table, kitchen or o/household arts. amd parts thereof",Bangladesh,Asia meridional,number,0,0
20211201,7326.20.00,"Iron or steel, articles of wire, nesoi",Bangladesh,Asia meridional,number,0,0
20211201,7210.49.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products, plated or coated with zinc (other than electrolytically), not corrugated",Belgium,Europa y Asia central,kilograms,0,0
20211201,7210.70.60,"Iron/nonalloy steel, width 600mm+, flat-rolled products, painted/varnished or coated w/plastic, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211201,7212.40.10,"Iron/nonalloy steel, width less th/300mm, flat-rolled products, painted, varnished or coated w/plastic",Belgium,Europa y Asia central,kilograms,0,0
20211201,7302.90.90,"Railway or tramway track construction material and other materials specialized for joing or fixing rails, of iron or steel, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211201,7307.21.10,"Stainless steel, flanges for tubes/pipes, forged, not machined, not tooled and not otherwise processed after forging",Belgium,Europa y Asia central,kilograms,0,0
20211201,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter",Belgium,Europa y Asia central,kilograms,0,0
20211201,7326.90.86,"Iron or steel, articles, nesoi",Belgium,Europa y Asia central,kilograms,0,0
20211201,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
