Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20210101,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,0,0
20210201,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,0,0
20210301,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,0,0
20210401,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,0,0
20210501,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,9,"3,024"
20210601,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,11,"3,174"
20210701,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,9,"2,790"
20210801,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,10,"3,072"
20210901,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Anguilla,Gran Caribe,metric tons,9,"2,957"
20210101,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,1,"2,375"
20210201,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210301,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,10,"11,700"
20210401,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210501,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,5,"4,920"
20210601,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210701,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210801,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210901,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Br  Virgin Is,Gran Caribe,metric tons,0,0
20210101,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,22,"6,759"
20210201,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,31,"9,772"
20210301,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,34,"10,406"
20210401,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,44,"13,310"
20210501,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,28,"8,336"
20210601,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,10,"3,112"
20210701,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,104,"15,761"
20210801,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,85,"8,550"
20210901,7204.29.00,Alloy steel (o/than stainless) waste and scrap,Sint Maarten,Gran Caribe,metric tons,69,"8,654"
20210101,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210201,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210301,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,"41,651","38,888"
20210401,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210501,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210601,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210701,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210801,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210901,7207.19.00,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",France,Europa y Asia central,kilograms,0,0
20210101,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210201,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210301,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210401,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210501,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210601,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210701,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210801,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210901,7208.40.60,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief,not coils,w/thick < 4.75mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,"80,065","52,378"
20210101,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Mexico,America Latina,kilograms,0,0
20210201,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Mexico,America Latina,kilograms,0,0
20210301,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Mexico,America Latina,kilograms,0,0
